"Time_point","gene","cell_line","guide","replicate","value","biotype"
0,"PPIA.TR1","H1975","g1","R1",0.5519547,"Protein-coding gene"
6,"PPIA.TR1","H1975","g1","R1",0.783103,"Protein-coding gene"
12,"PPIA.TR1","H1975","g1","R1",1,"Protein-coding gene"
18,"PPIA.TR1","H1975","g1","R1",1.154062,"Protein-coding gene"
24,"PPIA.TR1","H1975","g1","R1",1.172884,"Protein-coding gene"
30,"PPIA.TR1","H1975","g1","R1",1.18656,"Protein-coding gene"
36,"PPIA.TR1","H1975","g1","R1",1.22584,"Protein-coding gene"
42,"PPIA.TR1","H1975","g1","R1",1.166612,"Protein-coding gene"
48,"PPIA.TR1","H1975","g1","R1",1.180472,"Protein-coding gene"
54,"PPIA.TR1","H1975","g1","R1",1.321533,"Protein-coding gene"
60,"PPIA.TR1","H1975","g1","R1",1.493142,"Protein-coding gene"
66,"PPIA.TR1","H1975","g1","R1",1.631586,"Protein-coding gene"
72,"PPIA.TR1","H1975","g1","R1",1.723934,"Protein-coding gene"
78,"PPIA.TR1","H1975","g1","R1",1.917306,"Protein-coding gene"
84,"PPIA.TR1","H1975","g1","R1",1.993753,"Protein-coding gene"
90,"PPIA.TR1","H1975","g1","R1",2.052991,"Protein-coding gene"
0,"PPIA.TR1","H1975","g1","R2",0.5561209,"Protein-coding gene"
6,"PPIA.TR1","H1975","g1","R2",0.7601106,"Protein-coding gene"
12,"PPIA.TR1","H1975","g1","R2",1,"Protein-coding gene"
18,"PPIA.TR1","H1975","g1","R2",1.220589,"Protein-coding gene"
24,"PPIA.TR1","H1975","g1","R2",1.342889,"Protein-coding gene"
30,"PPIA.TR1","H1975","g1","R2",1.409041,"Protein-coding gene"
36,"PPIA.TR1","H1975","g1","R2",1.435747,"Protein-coding gene"
42,"PPIA.TR1","H1975","g1","R2",1.465084,"Protein-coding gene"
48,"PPIA.TR1","H1975","g1","R2",1.510983,"Protein-coding gene"
54,"PPIA.TR1","H1975","g1","R2",1.524485,"Protein-coding gene"
60,"PPIA.TR1","H1975","g1","R2",1.569433,"Protein-coding gene"
66,"PPIA.TR1","H1975","g1","R2",1.579312,"Protein-coding gene"
72,"PPIA.TR1","H1975","g1","R2",1.632638,"Protein-coding gene"
78,"PPIA.TR1","H1975","g1","R2",1.640291,"Protein-coding gene"
84,"PPIA.TR1","H1975","g1","R2",1.689584,"Protein-coding gene"
90,"PPIA.TR1","H1975","g1","R2",1.716127,"Protein-coding gene"
0,"PPIA.TR1","H1975","g2","R1",0.5041816,"Protein-coding gene"
6,"PPIA.TR1","H1975","g2","R1",0.7209525,"Protein-coding gene"
12,"PPIA.TR1","H1975","g2","R1",1,"Protein-coding gene"
18,"PPIA.TR1","H1975","g2","R1",1.32208,"Protein-coding gene"
24,"PPIA.TR1","H1975","g2","R1",1.638824,"Protein-coding gene"
30,"PPIA.TR1","H1975","g2","R1",1.947084,"Protein-coding gene"
36,"PPIA.TR1","H1975","g2","R1",2.179801,"Protein-coding gene"
42,"PPIA.TR1","H1975","g2","R1",2.46877,"Protein-coding gene"
48,"PPIA.TR1","H1975","g2","R1",2.866067,"Protein-coding gene"
54,"PPIA.TR1","H1975","g2","R1",3.197961,"Protein-coding gene"
60,"PPIA.TR1","H1975","g2","R1",3.403299,"Protein-coding gene"
66,"PPIA.TR1","H1975","g2","R1",3.602277,"Protein-coding gene"
72,"PPIA.TR1","H1975","g2","R1",3.786086,"Protein-coding gene"
78,"PPIA.TR1","H1975","g2","R1",3.969888,"Protein-coding gene"
84,"PPIA.TR1","H1975","g2","R1",4.202311,"Protein-coding gene"
90,"PPIA.TR1","H1975","g2","R1",4.341264,"Protein-coding gene"
0,"PPIA.TR1","H1975","g2","R2",0.4613045,"Protein-coding gene"
6,"PPIA.TR1","H1975","g2","R2",0.7026411,"Protein-coding gene"
12,"PPIA.TR1","H1975","g2","R2",1,"Protein-coding gene"
18,"PPIA.TR1","H1975","g2","R2",1.317147,"Protein-coding gene"
24,"PPIA.TR1","H1975","g2","R2",1.65047,"Protein-coding gene"
30,"PPIA.TR1","H1975","g2","R2",1.955742,"Protein-coding gene"
36,"PPIA.TR1","H1975","g2","R2",2.133624,"Protein-coding gene"
42,"PPIA.TR1","H1975","g2","R2",2.503711,"Protein-coding gene"
48,"PPIA.TR1","H1975","g2","R2",2.817037,"Protein-coding gene"
54,"PPIA.TR1","H1975","g2","R2",3.075881,"Protein-coding gene"
60,"PPIA.TR1","H1975","g2","R2",3.378911,"Protein-coding gene"
66,"PPIA.TR1","H1975","g2","R2",3.60051,"Protein-coding gene"
72,"PPIA.TR1","H1975","g2","R2",3.923509,"Protein-coding gene"
78,"PPIA.TR1","H1975","g2","R2",4.144928,"Protein-coding gene"
84,"PPIA.TR1","H1975","g2","R2",4.342707,"Protein-coding gene"
90,"PPIA.TR1","H1975","g2","R2",4.584644,"Protein-coding gene"
0,"PPIA.TR1","H1975","g3","R1",0.5531886,"Protein-coding gene"
6,"PPIA.TR1","H1975","g3","R1",0.7260407,"Protein-coding gene"
12,"PPIA.TR1","H1975","g3","R1",1,"Protein-coding gene"
18,"PPIA.TR1","H1975","g3","R1",1.199186,"Protein-coding gene"
24,"PPIA.TR1","H1975","g3","R1",1.354123,"Protein-coding gene"
30,"PPIA.TR1","H1975","g3","R1",1.46977,"Protein-coding gene"
36,"PPIA.TR1","H1975","g3","R1",1.558519,"Protein-coding gene"
42,"PPIA.TR1","H1975","g3","R1",1.658657,"Protein-coding gene"
48,"PPIA.TR1","H1975","g3","R1",1.718099,"Protein-coding gene"
54,"PPIA.TR1","H1975","g3","R1",1.79853,"Protein-coding gene"
60,"PPIA.TR1","H1975","g3","R1",1.868561,"Protein-coding gene"
66,"PPIA.TR1","H1975","g3","R1",2.014531,"Protein-coding gene"
72,"PPIA.TR1","H1975","g3","R1",2.039172,"Protein-coding gene"
78,"PPIA.TR1","H1975","g3","R1",2.08578,"Protein-coding gene"
84,"PPIA.TR1","H1975","g3","R1",2.118124,"Protein-coding gene"
