"Time_point","gene","cell_line","guide","replicate","value","biotype"
90,"PPIA.TR1","H1975","g3","R1",2.162697,"Protein-coding gene"
0,"PPIA.TR1","H1975","g3","R2",0.5155714,"Protein-coding gene"
6,"PPIA.TR1","H1975","g3","R2",0.7122082,"Protein-coding gene"
12,"PPIA.TR1","H1975","g3","R2",1,"Protein-coding gene"
18,"PPIA.TR1","H1975","g3","R2",1.132237,"Protein-coding gene"
24,"PPIA.TR1","H1975","g3","R2",1.226126,"Protein-coding gene"
30,"PPIA.TR1","H1975","g3","R2",1.350582,"Protein-coding gene"
36,"PPIA.TR1","H1975","g3","R2",1.41289,"Protein-coding gene"
42,"PPIA.TR1","H1975","g3","R2",1.465302,"Protein-coding gene"
48,"PPIA.TR1","H1975","g3","R2",1.515958,"Protein-coding gene"
54,"PPIA.TR1","H1975","g3","R2",1.613787,"Protein-coding gene"
60,"PPIA.TR1","H1975","g3","R2",1.742076,"Protein-coding gene"
66,"PPIA.TR1","H1975","g3","R2",1.75391,"Protein-coding gene"
72,"PPIA.TR1","H1975","g3","R2",1.871485,"Protein-coding gene"
78,"PPIA.TR1","H1975","g3","R2",1.915854,"Protein-coding gene"
84,"PPIA.TR1","H1975","g3","R2",1.971076,"Protein-coding gene"
90,"PPIA.TR1","H1975","g3","R2",2.073521,"Protein-coding gene"
0,"RPS16","H1975","g1","R1",0.4994976,"CEG"
6,"RPS16","H1975","g1","R1",0.6873624,"CEG"
12,"RPS16","H1975","g1","R1",1,"CEG"
18,"RPS16","H1975","g1","R1",1.285439,"CEG"
24,"RPS16","H1975","g1","R1",1.512844,"CEG"
30,"RPS16","H1975","g1","R1",1.698027,"CEG"
36,"RPS16","H1975","g1","R1",1.904602,"CEG"
42,"RPS16","H1975","g1","R1",1.999681,"CEG"
48,"RPS16","H1975","g1","R1",2.199698,"CEG"
54,"RPS16","H1975","g1","R1",2.504694,"CEG"
60,"RPS16","H1975","g1","R1",2.868097,"CEG"
66,"RPS16","H1975","g1","R1",3.28278,"CEG"
72,"RPS16","H1975","g1","R1",3.695493,"CEG"
78,"RPS16","H1975","g1","R1",4.143356,"CEG"
84,"RPS16","H1975","g1","R1",4.616158,"CEG"
90,"RPS16","H1975","g1","R1",4.923065,"CEG"
0,"RPS16","H1975","g1","R2",0.5100213,"CEG"
6,"RPS16","H1975","g1","R2",0.7001603,"CEG"
12,"RPS16","H1975","g1","R2",1,"CEG"
18,"RPS16","H1975","g1","R2",1.254908,"CEG"
24,"RPS16","H1975","g1","R2",1.536603,"CEG"
30,"RPS16","H1975","g1","R2",1.606797,"CEG"
36,"RPS16","H1975","g1","R2",1.647354,"CEG"
42,"RPS16","H1975","g1","R2",1.806916,"CEG"
48,"RPS16","H1975","g1","R2",1.971851,"CEG"
54,"RPS16","H1975","g1","R2",2.191025,"CEG"
60,"RPS16","H1975","g1","R2",2.488288,"CEG"
66,"RPS16","H1975","g1","R2",2.798785,"CEG"
72,"RPS16","H1975","g1","R2",3.204159,"CEG"
78,"RPS16","H1975","g1","R2",3.550564,"CEG"
84,"RPS16","H1975","g1","R2",4.024081,"CEG"
90,"RPS16","H1975","g1","R2",4.312335,"CEG"
0,"RPS16","H1975","g2","R1",0.5182338,"CEG"
6,"RPS16","H1975","g2","R1",0.7406186,"CEG"
12,"RPS16","H1975","g2","R1",1,"CEG"
18,"RPS16","H1975","g2","R1",1.200163,"CEG"
24,"RPS16","H1975","g2","R1",1.324186,"CEG"
30,"RPS16","H1975","g2","R1",1.433766,"CEG"
36,"RPS16","H1975","g2","R1",1.494824,"CEG"
42,"RPS16","H1975","g2","R1",1.554816,"CEG"
48,"RPS16","H1975","g2","R1",1.704288,"CEG"
54,"RPS16","H1975","g2","R1",1.714209,"CEG"
60,"RPS16","H1975","g2","R1",1.893018,"CEG"
66,"RPS16","H1975","g2","R1",1.987261,"CEG"
72,"RPS16","H1975","g2","R1",2.190452,"CEG"
78,"RPS16","H1975","g2","R1",2.31395,"CEG"
84,"RPS16","H1975","g2","R1",2.353975,"CEG"
90,"RPS16","H1975","g2","R1",2.387568,"CEG"
0,"RPS16","H1975","g2","R2",0.4704871,"CEG"
6,"RPS16","H1975","g2","R2",0.7114973,"CEG"
12,"RPS16","H1975","g2","R2",1,"CEG"
18,"RPS16","H1975","g2","R2",1.245549,"CEG"
24,"RPS16","H1975","g2","R2",1.400513,"CEG"
30,"RPS16","H1975","g2","R2",1.59826,"CEG"
36,"RPS16","H1975","g2","R2",1.76434,"CEG"
42,"RPS16","H1975","g2","R2",1.86098,"CEG"
48,"RPS16","H1975","g2","R2",2.028127,"CEG"
54,"RPS16","H1975","g2","R2",2.136692,"CEG"
60,"RPS16","H1975","g2","R2",2.202774,"CEG"
66,"RPS16","H1975","g2","R2",2.277811,"CEG"
72,"RPS16","H1975","g2","R2",2.343268,"CEG"
78,"RPS16","H1975","g2","R2",2.430195,"CEG"
84,"RPS16","H1975","g2","R2",2.433289,"CEG"
90,"RPS16","H1975","g2","R2",2.561263,"CEG"
0,"RPS16","H1975","g3","R1",0.4682223,"CEG"
6,"RPS16","H1975","g3","R1",0.7254204,"CEG"
12,"RPS16","H1975","g3","R1",1,"CEG"
18,"RPS16","H1975","g3","R1",1.23949,"CEG"
24,"RPS16","H1975","g3","R1",1.411309,"CEG"
30,"RPS16","H1975","g3","R1",1.6041,"CEG"
36,"RPS16","H1975","g3","R1",1.663011,"CEG"
42,"RPS16","H1975","g3","R1",1.785354,"CEG"
48,"RPS16","H1975","g3","R1",1.829526,"CEG"
54,"RPS16","H1975","g3","R1",1.812163,"CEG"
60,"RPS16","H1975","g3","R1",1.820634,"CEG"
66,"RPS16","H1975","g3","R1",1.757443,"CEG"
72,"RPS16","H1975","g3","R1",1.810485,"CEG"
78,"RPS16","H1975","g3","R1",2.036296,"CEG"
84,"RPS16","H1975","g3","R1",2.138974,"CEG"
90,"RPS16","H1975","g3","R1",2.109609,"CEG"
0,"RPS16","H1975","g3","R2",0.560942,"CEG"
6,"RPS16","H1975","g3","R2",0.7889571,"CEG"
12,"RPS16","H1975","g3","R2",1,"CEG"
18,"RPS16","H1975","g3","R2",1.225688,"CEG"
24,"RPS16","H1975","g3","R2",1.356957,"CEG"
30,"RPS16","H1975","g3","R2",1.414568,"CEG"
36,"RPS16","H1975","g3","R2",1.475698,"CEG"
42,"RPS16","H1975","g3","R2",1.501604,"CEG"
48,"RPS16","H1975","g3","R2",1.624806,"CEG"
54,"RPS16","H1975","g3","R2",1.771248,"CEG"
60,"RPS16","H1975","g3","R2",2.043717,"CEG"
66,"RPS16","H1975","g3","R2",2.072257,"CEG"
72,"RPS16","H1975","g3","R2",2.117581,"CEG"
78,"RPS16","H1975","g3","R2",2.37662,"CEG"
84,"RPS16","H1975","g3","R2",1.757076,"CEG"
90,"RPS16","H1975","g3","R2",1.619606,"CEG"
0,"PPIA.TR2","H1975","g1","R1",0.4883012,"Protein-coding gene"
6,"PPIA.TR2","H1975","g1","R1",0.6746227,"Protein-coding gene"
12,"PPIA.TR2","H1975","g1","R1",1,"Protein-coding gene"
18,"PPIA.TR2","H1975","g1","R1",1.419127,"Protein-coding gene"
24,"PPIA.TR2","H1975","g1","R1",1.788821,"Protein-coding gene"
30,"PPIA.TR2","H1975","g1","R1",2.148724,"Protein-coding gene"
36,"PPIA.TR2","H1975","g1","R1",2.410779,"Protein-coding gene"
42,"PPIA.TR2","H1975","g1","R1",2.587317,"Protein-coding gene"
48,"PPIA.TR2","H1975","g1","R1",2.723229,"Protein-coding gene"
54,"PPIA.TR2","H1975","g1","R1",2.767394,"Protein-coding gene"
60,"PPIA.TR2","H1975","g1","R1",2.862663,"Protein-coding gene"
66,"PPIA.TR2","H1975","g1","R1",2.838557,"Protein-coding gene"
72,"PPIA.TR2","H1975","g1","R1",2.943574,"Protein-coding gene"
78,"PPIA.TR2","H1975","g1","R1",3.048924,"Protein-coding gene"
84,"PPIA.TR2","H1975","g1","R1",3.280128,"Protein-coding gene"
90,"PPIA.TR2","H1975","g1","R1",3.576941,"Protein-coding gene"
0,"PPIA.TR2","H1975","g1","R2",0.5376184,"Protein-coding gene"
6,"PPIA.TR2","H1975","g1","R2",0.7102107,"Protein-coding gene"
12,"PPIA.TR2","H1975","g1","R2",1,"Protein-coding gene"
18,"PPIA.TR2","H1975","g1","R2",1.46758,"Protein-coding gene"
24,"PPIA.TR2","H1975","g1","R2",1.90502,"Protein-coding gene"
30,"PPIA.TR2","H1975","g1","R2",2.374395,"Protein-coding gene"
36,"PPIA.TR2","H1975","g1","R2",2.95842,"Protein-coding gene"
42,"PPIA.TR2","H1975","g1","R2",3.498957,"Protein-coding gene"
48,"PPIA.TR2","H1975","g1","R2",4.215519,"Protein-coding gene"
54,"PPIA.TR2","H1975","g1","R2",4.891898,"Protein-coding gene"
60,"PPIA.TR2","H1975","g1","R2",5.756421,"Protein-coding gene"
66,"PPIA.TR2","H1975","g1","R2",6.693408,"Protein-coding gene"
72,"PPIA.TR2","H1975","g1","R2",7.515167,"Protein-coding gene"
78,"PPIA.TR2","H1975","g1","R2",8.317588,"Protein-coding gene"
84,"PPIA.TR2","H1975","g1","R2",9.27924,"Protein-coding gene"
90,"PPIA.TR2","H1975","g1","R2",10.12634,"Protein-coding gene"
0,"PPIA.TR2","H1975","g2","R1",0.4512913,"Protein-coding gene"
6,"PPIA.TR2","H1975","g2","R1",0.6778225,"Protein-coding gene"
12,"PPIA.TR2","H1975","g2","R1",1,"Protein-coding gene"
18,"PPIA.TR2","H1975","g2","R1",1.320724,"Protein-coding gene"
24,"PPIA.TR2","H1975","g2","R1",1.680133,"Protein-coding gene"
30,"PPIA.TR2","H1975","g2","R1",2.061082,"Protein-coding gene"
36,"PPIA.TR2","H1975","g2","R1",2.575702,"Protein-coding gene"
42,"PPIA.TR2","H1975","g2","R1",3.215042,"Protein-coding gene"
48,"PPIA.TR2","H1975","g2","R1",3.936197,"Protein-coding gene"
54,"PPIA.TR2","H1975","g2","R1",4.83062,"Protein-coding gene"
60,"PPIA.TR2","H1975","g2","R1",5.792475,"Protein-coding gene"
66,"PPIA.TR2","H1975","g2","R1",6.799519,"Protein-coding gene"
72,"PPIA.TR2","H1975","g2","R1",7.790152,"Protein-coding gene"
78,"PPIA.TR2","H1975","g2","R1",8.91177,"Protein-coding gene"
84,"PPIA.TR2","H1975","g2","R1",9.793354,"Protein-coding gene"
90,"PPIA.TR2","H1975","g2","R1",10.70793,"Protein-coding gene"
0,"PPIA.TR2","H1975","g2","R2",0.4556705,"Protein-coding gene"
6,"PPIA.TR2","H1975","g2","R2",0.6917608,"Protein-coding gene"
12,"PPIA.TR2","H1975","g2","R2",1,"Protein-coding gene"
18,"PPIA.TR2","H1975","g2","R2",1.338265,"Protein-coding gene"
24,"PPIA.TR2","H1975","g2","R2",1.731521,"Protein-coding gene"
30,"PPIA.TR2","H1975","g2","R2",2.136515,"Protein-coding gene"
36,"PPIA.TR2","H1975","g2","R2",2.750779,"Protein-coding gene"
42,"PPIA.TR2","H1975","g2","R2",3.47096,"Protein-coding gene"
48,"PPIA.TR2","H1975","g2","R2",4.284412,"Protein-coding gene"
54,"PPIA.TR2","H1975","g2","R2",5.300505,"Protein-coding gene"
60,"PPIA.TR2","H1975","g2","R2",6.209144,"Protein-coding gene"
66,"PPIA.TR2","H1975","g2","R2",7.178748,"Protein-coding gene"
72,"PPIA.TR2","H1975","g2","R2",8.213055,"Protein-coding gene"
78,"PPIA.TR2","H1975","g2","R2",9.197029,"Protein-coding gene"
84,"PPIA.TR2","H1975","g2","R2",10.09484,"Protein-coding gene"
90,"PPIA.TR2","H1975","g2","R2",10.92082,"Protein-coding gene"
0,"PPIA.TR2","H1975","g3","R1",0.490204,"Protein-coding gene"
6,"PPIA.TR2","H1975","g3","R1",0.6794859,"Protein-coding gene"
12,"PPIA.TR2","H1975","g3","R1",1,"Protein-coding gene"
18,"PPIA.TR2","H1975","g3","R1",1.352976,"Protein-coding gene"
24,"PPIA.TR2","H1975","g3","R1",1.709784,"Protein-coding gene"
30,"PPIA.TR2","H1975","g3","R1",1.984353,"Protein-coding gene"
36,"PPIA.TR2","H1975","g3","R1",2.358159,"Protein-coding gene"
42,"PPIA.TR2","H1975","g3","R1",2.942716,"Protein-coding gene"
48,"PPIA.TR2","H1975","g3","R1",3.624656,"Protein-coding gene"
54,"PPIA.TR2","H1975","g3","R1",4.597982,"Protein-coding gene"
60,"PPIA.TR2","H1975","g3","R1",5.579419,"Protein-coding gene"
66,"PPIA.TR2","H1975","g3","R1",6.490034,"Protein-coding gene"
72,"PPIA.TR2","H1975","g3","R1",7.593412,"Protein-coding gene"
78,"PPIA.TR2","H1975","g3","R1",8.791065,"Protein-coding gene"
84,"PPIA.TR2","H1975","g3","R1",9.905449,"Protein-coding gene"
90,"PPIA.TR2","H1975","g3","R1",10.95012,"Protein-coding gene"
0,"PPIA.TR2","H1975","g3","R2",0.4622331,"Protein-coding gene"
6,"PPIA.TR2","H1975","g3","R2",0.6854089,"Protein-coding gene"
12,"PPIA.TR2","H1975","g3","R2",1,"Protein-coding gene"
18,"PPIA.TR2","H1975","g3","R2",1.317673,"Protein-coding gene"
24,"PPIA.TR2","H1975","g3","R2",1.649353,"Protein-coding gene"
30,"PPIA.TR2","H1975","g3","R2",2.044284,"Protein-coding gene"
36,"PPIA.TR2","H1975","g3","R2",2.477816,"Protein-coding gene"
42,"PPIA.TR2","H1975","g3","R2",3.059701,"Protein-coding gene"
48,"PPIA.TR2","H1975","g3","R2",3.739712,"Protein-coding gene"
54,"PPIA.TR2","H1975","g3","R2",4.63969,"Protein-coding gene"
60,"PPIA.TR2","H1975","g3","R2",5.63905,"Protein-coding gene"
66,"PPIA.TR2","H1975","g3","R2",6.634247,"Protein-coding gene"
72,"PPIA.TR2","H1975","g3","R2",7.62962,"Protein-coding gene"
78,"PPIA.TR2","H1975","g3","R2",8.660898,"Protein-coding gene"
84,"PPIA.TR2","H1975","g3","R2",9.667824,"Protein-coding gene"
90,"PPIA.TR2","H1975","g3","R2",10.77297,"Protein-coding gene"
0,"GAPDH","H1975","g1","R1",0.5314805,"CEG"
6,"GAPDH","H1975","g1","R1",0.6883182,"CEG"
12,"GAPDH","H1975","g1","R1",1,"CEG"
18,"GAPDH","H1975","g1","R1",1.242548,"CEG"
24,"GAPDH","H1975","g1","R1",1.459024,"CEG"
30,"GAPDH","H1975","g1","R1",1.632554,"CEG"
36,"GAPDH","H1975","g1","R1",1.883101,"CEG"
42,"GAPDH","H1975","g1","R1",2.059861,"CEG"
48,"GAPDH","H1975","g1","R1",2.356685,"CEG"
54,"GAPDH","H1975","g1","R1",2.76185,"CEG"
60,"GAPDH","H1975","g1","R1",3.189074,"CEG"
66,"GAPDH","H1975","g1","R1",3.733515,"CEG"
72,"GAPDH","H1975","g1","R1",4.205387,"CEG"
78,"GAPDH","H1975","g1","R1",4.569695,"CEG"
84,"GAPDH","H1975","g1","R1",5.032118,"CEG"
90,"GAPDH","H1975","g1","R1",5.506515,"CEG"
0,"GAPDH","H1975","g1","R2",0.4825809,"CEG"
6,"GAPDH","H1975","g1","R2",0.6700336,"CEG"
12,"GAPDH","H1975","g1","R2",1,"CEG"
18,"GAPDH","H1975","g1","R2",1.260026,"CEG"
24,"GAPDH","H1975","g1","R2",1.400269,"CEG"
30,"GAPDH","H1975","g1","R2",1.560533,"CEG"
36,"GAPDH","H1975","g1","R2",1.820153,"CEG"
42,"GAPDH","H1975","g1","R2",1.989555,"CEG"
48,"GAPDH","H1975","g1","R2",2.419586,"CEG"
54,"GAPDH","H1975","g1","R2",2.773738,"CEG"
60,"GAPDH","H1975","g1","R2",3.192206,"CEG"
66,"GAPDH","H1975","g1","R2",3.697881,"CEG"
72,"GAPDH","H1975","g1","R2",4.076613,"CEG"
78,"GAPDH","H1975","g1","R2",4.360456,"CEG"
84,"GAPDH","H1975","g1","R2",4.769383,"CEG"
90,"GAPDH","H1975","g1","R2",5.281227,"CEG"
0,"GAPDH","H1975","g2","R1",0.4345068,"CEG"
6,"GAPDH","H1975","g2","R1",0.6723042,"CEG"
12,"GAPDH","H1975","g2","R1",1,"CEG"
18,"GAPDH","H1975","g2","R1",1.2633,"CEG"
24,"GAPDH","H1975","g2","R1",1.515718,"CEG"
30,"GAPDH","H1975","g2","R1",1.748905,"CEG"
36,"GAPDH","H1975","g2","R1",2.007948,"CEG"
42,"GAPDH","H1975","g2","R1",2.338879,"CEG"
48,"GAPDH","H1975","g2","R1",2.768998,"CEG"
54,"GAPDH","H1975","g2","R1",3.496765,"CEG"
60,"GAPDH","H1975","g2","R1",4.24647,"CEG"
66,"GAPDH","H1975","g2","R1",5.081141,"CEG"
72,"GAPDH","H1975","g2","R1",5.718878,"CEG"
78,"GAPDH","H1975","g2","R1",6.41479,"CEG"
84,"GAPDH","H1975","g2","R1",7.274509,"CEG"
90,"GAPDH","H1975","g2","R1",7.929296,"CEG"
0,"GAPDH","H1975","g2","R2",0.5018579,"CEG"
6,"GAPDH","H1975","g2","R2",0.6913036,"CEG"
12,"GAPDH","H1975","g2","R2",1,"CEG"
18,"GAPDH","H1975","g2","R2",1.293532,"CEG"
24,"GAPDH","H1975","g2","R2",1.548863,"CEG"
30,"GAPDH","H1975","g2","R2",1.83526,"CEG"
36,"GAPDH","H1975","g2","R2",2.117779,"CEG"
42,"GAPDH","H1975","g2","R2",2.585171,"CEG"
48,"GAPDH","H1975","g2","R2",3.09743,"CEG"
54,"GAPDH","H1975","g2","R2",3.777032,"CEG"
60,"GAPDH","H1975","g2","R2",4.452991,"CEG"
66,"GAPDH","H1975","g2","R2",5.261693,"CEG"
72,"GAPDH","H1975","g2","R2",5.830193,"CEG"
78,"GAPDH","H1975","g2","R2",6.430248,"CEG"
84,"GAPDH","H1975","g2","R2",7.195314,"CEG"
90,"GAPDH","H1975","g2","R2",7.82391,"CEG"
0,"GAPDH","H1975","g3","R1",0.5217459,"CEG"
6,"GAPDH","H1975","g3","R1",0.7376211,"CEG"
12,"GAPDH","H1975","g3","R1",1,"CEG"
18,"GAPDH","H1975","g3","R1",1.229252,"CEG"
24,"GAPDH","H1975","g3","R1",1.503595,"CEG"
30,"GAPDH","H1975","g3","R1",1.767369,"CEG"
36,"GAPDH","H1975","g3","R1",1.949114,"CEG"
42,"GAPDH","H1975","g3","R1",2.113492,"CEG"
48,"GAPDH","H1975","g3","R1",2.446153,"CEG"
54,"GAPDH","H1975","g3","R1",2.771645,"CEG"
60,"GAPDH","H1975","g3","R1",3.136971,"CEG"
66,"GAPDH","H1975","g3","R1",3.315739,"CEG"
72,"GAPDH","H1975","g3","R1",3.574494,"CEG"
78,"GAPDH","H1975","g3","R1",3.792691,"CEG"
84,"GAPDH","H1975","g3","R1",4.010521,"CEG"
90,"GAPDH","H1975","g3","R1",4.108738,"CEG"
0,"GAPDH","H1975","g3","R2",0.5123632,"CEG"
6,"GAPDH","H1975","g3","R2",0.7228772,"CEG"
12,"GAPDH","H1975","g3","R2",1,"CEG"
18,"GAPDH","H1975","g3","R2",1.261863,"CEG"
24,"GAPDH","H1975","g3","R2",1.478952,"CEG"
30,"GAPDH","H1975","g3","R2",1.722454,"CEG"
36,"GAPDH","H1975","g3","R2",1.865057,"CEG"
42,"GAPDH","H1975","g3","R2",2.006223,"CEG"
48,"GAPDH","H1975","g3","R2",2.076964,"CEG"
54,"GAPDH","H1975","g3","R2",2.130332,"CEG"
60,"GAPDH","H1975","g3","R2",2.191955,"CEG"
66,"GAPDH","H1975","g3","R2",2.429552,"CEG"
72,"GAPDH","H1975","g3","R2",2.72881,"CEG"
78,"GAPDH","H1975","g3","R2",2.922265,"CEG"
84,"GAPDH","H1975","g3","R2",3.236305,"CEG"
90,"GAPDH","H1975","g3","R2",3.366204,"CEG"
0,"ZFAS1","H1975","g1","R1",0.4198987,"LncRNA"
6,"ZFAS1","H1975","g1","R1",0.6356332,"LncRNA"
12,"ZFAS1","H1975","g1","R1",1,"LncRNA"
18,"ZFAS1","H1975","g1","R1",1.348616,"LncRNA"
24,"ZFAS1","H1975","g1","R1",1.663927,"LncRNA"
30,"ZFAS1","H1975","g1","R1",1.953262,"LncRNA"
36,"ZFAS1","H1975","g1","R1",2.153241,"LncRNA"
42,"ZFAS1","H1975","g1","R1",2.257316,"LncRNA"
48,"ZFAS1","H1975","g1","R1",2.301066,"LncRNA"
54,"ZFAS1","H1975","g1","R1",2.258178,"LncRNA"
60,"ZFAS1","H1975","g1","R1",2.26144,"LncRNA"
66,"ZFAS1","H1975","g1","R1",2.218093,"LncRNA"
72,"ZFAS1","H1975","g1","R1",2.243256,"LncRNA"
78,"ZFAS1","H1975","g1","R1",2.299364,"LncRNA"
84,"ZFAS1","H1975","g1","R1",2.454553,"LncRNA"
90,"ZFAS1","H1975","g1","R1",2.601288,"LncRNA"
0,"ZFAS1","H1975","g1","R2",0.4234411,"LncRNA"
6,"ZFAS1","H1975","g1","R2",0.6446909,"LncRNA"
12,"ZFAS1","H1975","g1","R2",1,"LncRNA"
18,"ZFAS1","H1975","g1","R2",1.33864,"LncRNA"
24,"ZFAS1","H1975","g1","R2",1.652562,"LncRNA"
30,"ZFAS1","H1975","g1","R2",1.939103,"LncRNA"
36,"ZFAS1","H1975","g1","R2",2.253138,"LncRNA"
42,"ZFAS1","H1975","g1","R2",2.534423,"LncRNA"
48,"ZFAS1","H1975","g1","R2",2.901346,"LncRNA"
54,"ZFAS1","H1975","g1","R2",3.360823,"LncRNA"
60,"ZFAS1","H1975","g1","R2",3.811532,"LncRNA"
66,"ZFAS1","H1975","g1","R2",4.316314,"LncRNA"
72,"ZFAS1","H1975","g1","R2",4.683392,"LncRNA"
78,"ZFAS1","H1975","g1","R2",5.152897,"LncRNA"
