"Time_point","gene","cell_line","guide","replicate","value","biotype"
66,"PPIA.TR1","A549","g3","R1",1.589439,"Protein-coding gene"
72,"PPIA.TR1","A549","g3","R1",1.604836,"Protein-coding gene"
78,"PPIA.TR1","A549","g3","R1",1.553821,"Protein-coding gene"
84,"PPIA.TR1","A549","g3","R1",1.537745,"Protein-coding gene"
90,"PPIA.TR1","A549","g3","R1",1.56563,"Protein-coding gene"
0,"PPIA.TR1","A549","g3","R2",0.5151107,"Protein-coding gene"
6,"PPIA.TR1","A549","g3","R2",0.7807263,"Protein-coding gene"
12,"PPIA.TR1","A549","g3","R2",1,"Protein-coding gene"
18,"PPIA.TR1","A549","g3","R2",1.217014,"Protein-coding gene"
24,"PPIA.TR1","A549","g3","R2",1.303302,"Protein-coding gene"
30,"PPIA.TR1","A549","g3","R2",1.40059,"Protein-coding gene"
36,"PPIA.TR1","A549","g3","R2",1.451574,"Protein-coding gene"
42,"PPIA.TR1","A549","g3","R2",1.532413,"Protein-coding gene"
48,"PPIA.TR1","A549","g3","R2",1.516901,"Protein-coding gene"
54,"PPIA.TR1","A549","g3","R2",1.498786,"Protein-coding gene"
60,"PPIA.TR1","A549","g3","R2",1.51081,"Protein-coding gene"
66,"PPIA.TR1","A549","g3","R2",1.462829,"Protein-coding gene"
72,"PPIA.TR1","A549","g3","R2",1.453835,"Protein-coding gene"
78,"PPIA.TR1","A549","g3","R2",1.443756,"Protein-coding gene"
84,"PPIA.TR1","A549","g3","R2",1.483232,"Protein-coding gene"
90,"PPIA.TR1","A549","g3","R2",1.503827,"Protein-coding gene"
0,"RPS16","A549","g1","R1",0.4143904,"CEG"
6,"RPS16","A549","g1","R1",0.7423859,"CEG"
12,"RPS16","A549","g1","R1",1,"CEG"
18,"RPS16","A549","g1","R1",1.205648,"CEG"
24,"RPS16","A549","g1","R1",1.349999,"CEG"
30,"RPS16","A549","g1","R1",1.464071,"CEG"
36,"RPS16","A549","g1","R1",1.554695,"CEG"
42,"RPS16","A549","g1","R1",1.615513,"CEG"
48,"RPS16","A549","g1","R1",1.665456,"CEG"
54,"RPS16","A549","g1","R1",1.70717,"CEG"
60,"RPS16","A549","g1","R1",1.722431,"CEG"
66,"RPS16","A549","g1","R1",1.70095,"CEG"
72,"RPS16","A549","g1","R1",1.703438,"CEG"
78,"RPS16","A549","g1","R1",1.708852,"CEG"
84,"RPS16","A549","g1","R1",1.710617,"CEG"
90,"RPS16","A549","g1","R1",1.687037,"CEG"
0,"RPS16","A549","g1","R2",0.4151211,"CEG"
6,"RPS16","A549","g1","R2",0.7310892,"CEG"
12,"RPS16","A549","g1","R2",1,"CEG"
18,"RPS16","A549","g1","R2",1.21164,"CEG"
24,"RPS16","A549","g1","R2",1.34874,"CEG"
30,"RPS16","A549","g1","R2",1.471699,"CEG"
36,"RPS16","A549","g1","R2",1.560466,"CEG"
42,"RPS16","A549","g1","R2",1.59658,"CEG"
48,"RPS16","A549","g1","R2",1.598405,"CEG"
54,"RPS16","A549","g1","R2",1.629902,"CEG"
60,"RPS16","A549","g1","R2",1.621682,"CEG"
66,"RPS16","A549","g1","R2",1.622309,"CEG"
72,"RPS16","A549","g1","R2",1.567525,"CEG"
78,"RPS16","A549","g1","R2",1.575887,"CEG"
84,"RPS16","A549","g1","R2",1.556669,"CEG"
90,"RPS16","A549","g1","R2",1.560534,"CEG"
0,"RPS16","A549","g2","R1",0.4706157,"CEG"
6,"RPS16","A549","g2","R1",0.7165068,"CEG"
12,"RPS16","A549","g2","R1",1,"CEG"
18,"RPS16","A549","g2","R1",1.1906,"CEG"
24,"RPS16","A549","g2","R1",1.326092,"CEG"
30,"RPS16","A549","g2","R1",1.390883,"CEG"
36,"RPS16","A549","g2","R1",1.43794,"CEG"
42,"RPS16","A549","g2","R1",1.433805,"CEG"
48,"RPS16","A549","g2","R1",1.449909,"CEG"
54,"RPS16","A549","g2","R1",1.461507,"CEG"
60,"RPS16","A549","g2","R1",1.451442,"CEG"
66,"RPS16","A549","g2","R1",1.551631,"CEG"
72,"RPS16","A549","g2","R1",1.667141,"CEG"
78,"RPS16","A549","g2","R1",1.673175,"CEG"
84,"RPS16","A549","g2","R1",1.63734,"CEG"
90,"RPS16","A549","g2","R1",1.628842,"CEG"
0,"RPS16","A549","g2","R2",0.4293595,"CEG"
6,"RPS16","A549","g2","R2",0.7871732,"CEG"
12,"RPS16","A549","g2","R2",1,"CEG"
18,"RPS16","A549","g2","R2",1.198259,"CEG"
24,"RPS16","A549","g2","R2",1.321611,"CEG"
30,"RPS16","A549","g2","R2",1.402294,"CEG"
36,"RPS16","A549","g2","R2",1.422927,"CEG"
