"Time_point","gene","cell_line","guide","replicate","value","biotype"
54,"PPIA.TR1","H1299","g3","R1",1.985233,"Protein-coding gene"
60,"PPIA.TR1","H1299","g3","R1",2.012653,"Protein-coding gene"
66,"PPIA.TR1","H1299","g3","R1",2.06097,"Protein-coding gene"
72,"PPIA.TR1","H1299","g3","R1",2.192258,"Protein-coding gene"
78,"PPIA.TR1","H1299","g3","R1",2.166207,"Protein-coding gene"
84,"PPIA.TR1","H1299","g3","R1",2.176609,"Protein-coding gene"
90,"PPIA.TR1","H1299","g3","R1",2.231091,"Protein-coding gene"
0,"PPIA.TR1","H1299","g3","R2",0.6631075,"Protein-coding gene"
6,"PPIA.TR1","H1299","g3","R2",0.8770548,"Protein-coding gene"
12,"PPIA.TR1","H1299","g3","R2",1,"Protein-coding gene"
18,"PPIA.TR1","H1299","g3","R2",1.278571,"Protein-coding gene"
24,"PPIA.TR1","H1299","g3","R2",1.387947,"Protein-coding gene"
30,"PPIA.TR1","H1299","g3","R2",1.607082,"Protein-coding gene"
36,"PPIA.TR1","H1299","g3","R2",1.871805,"Protein-coding gene"
42,"PPIA.TR1","H1299","g3","R2",1.873088,"Protein-coding gene"
48,"PPIA.TR1","H1299","g3","R2",2.038205,"Protein-coding gene"
54,"PPIA.TR1","H1299","g3","R2",2.127167,"Protein-coding gene"
60,"PPIA.TR1","H1299","g3","R2",2.253091,"Protein-coding gene"
66,"PPIA.TR1","H1299","g3","R2",2.28714,"Protein-coding gene"
72,"PPIA.TR1","H1299","g3","R2",2.34526,"Protein-coding gene"
78,"PPIA.TR1","H1299","g3","R2",2.324441,"Protein-coding gene"
84,"PPIA.TR1","H1299","g3","R2",2.377545,"Protein-coding gene"
90,"PPIA.TR1","H1299","g3","R2",2.385613,"Protein-coding gene"
0,"RPS16","H1299","g1","R1",0.5292093,"CEG"
6,"RPS16","H1299","g1","R1",0.7369107,"CEG"
12,"RPS16","H1299","g1","R1",1,"CEG"
18,"RPS16","H1299","g1","R1",1.207117,"CEG"
24,"RPS16","H1299","g1","R1",1.484935,"CEG"
30,"RPS16","H1299","g1","R1",1.71025,"CEG"
36,"RPS16","H1299","g1","R1",1.886274,"CEG"
42,"RPS16","H1299","g1","R1",2.085782,"CEG"
48,"RPS16","H1299","g1","R1",2.281022,"CEG"
54,"RPS16","H1299","g1","R1",2.514538,"CEG"
60,"RPS16","H1299","g1","R1",2.74239,"CEG"
66,"RPS16","H1299","g1","R1",2.999829,"CEG"
72,"RPS16","H1299","g1","R1",3.297056,"CEG"
78,"RPS16","H1299","g1","R1",3.544532,"CEG"
84,"RPS16","H1299","g1","R1",3.801907,"CEG"
90,"RPS16","H1299","g1","R1",4.14425,"CEG"
0,"RPS16","H1299","g1","R2",0.6014112,"CEG"
6,"RPS16","H1299","g1","R2",0.7569881,"CEG"
12,"RPS16","H1299","g1","R2",1,"CEG"
18,"RPS16","H1299","g1","R2",1.272387,"CEG"
24,"RPS16","H1299","g1","R2",1.54801,"CEG"
30,"RPS16","H1299","g1","R2",1.779043,"CEG"
36,"RPS16","H1299","g1","R2",1.978136,"CEG"
42,"RPS16","H1299","g1","R2",2.159359,"CEG"
48,"RPS16","H1299","g1","R2",2.380705,"CEG"
54,"RPS16","H1299","g1","R2",2.551987,"CEG"
60,"RPS16","H1299","g1","R2",2.769871,"CEG"
66,"RPS16","H1299","g1","R2",3.001231,"CEG"
72,"RPS16","H1299","g1","R2",3.196511,"CEG"
78,"RPS16","H1299","g1","R2",3.380426,"CEG"
84,"RPS16","H1299","g1","R2",3.588711,"CEG"
90,"RPS16","H1299","g1","R2",3.869211,"CEG"
0,"RPS16","H1299","g2","R1",1.320112,"CEG"
6,"RPS16","H1299","g2","R1",1.018586,"CEG"
12,"RPS16","H1299","g2","R1",1,"CEG"
18,"RPS16","H1299","g2","R1",1.313564,"CEG"
24,"RPS16","H1299","g2","R1",1.711991,"CEG"
30,"RPS16","H1299","g2","R1",2.074557,"CEG"
36,"RPS16","H1299","g2","R1",2.432532,"CEG"
42,"RPS16","H1299","g2","R1",2.793771,"CEG"
48,"RPS16","H1299","g2","R1",2.934302,"CEG"
54,"RPS16","H1299","g2","R1",3.137988,"CEG"
60,"RPS16","H1299","g2","R1",3.34466,"CEG"
66,"RPS16","H1299","g2","R1",3.36555,"CEG"
72,"RPS16","H1299","g2","R1",3.656503,"CEG"
78,"RPS16","H1299","g2","R1",3.720104,"CEG"
84,"RPS16","H1299","g2","R1",3.596344,"CEG"
90,"RPS16","H1299","g2","R1",3.73037,"CEG"
0,"RPS16","H1299","g2","R2",1.077829,"CEG"
6,"RPS16","H1299","g2","R2",0.9362062,"CEG"
12,"RPS16","H1299","g2","R2",1,"CEG"
18,"RPS16","H1299","g2","R2",1.22353,"CEG"
24,"RPS16","H1299","g2","R2",1.433297,"CEG"
30,"RPS16","H1299","g2","R2",1.635538,"CEG"
36,"RPS16","H1299","g2","R2",1.836957,"CEG"
42,"RPS16","H1299","g2","R2",2.085917,"CEG"
48,"RPS16","H1299","g2","R2",2.255904,"CEG"
54,"RPS16","H1299","g2","R2",2.414231,"CEG"
60,"RPS16","H1299","g2","R2",2.549051,"CEG"
66,"RPS16","H1299","g2","R2",2.642676,"CEG"
72,"RPS16","H1299","g2","R2",2.692031,"CEG"
78,"RPS16","H1299","g2","R2",2.648314,"CEG"
84,"RPS16","H1299","g2","R2",2.647221,"CEG"
90,"RPS16","H1299","g2","R2",2.652818,"CEG"
0,"RPS16","H1299","g3","R1",0.8187717,"CEG"
6,"RPS16","H1299","g3","R1",0.825193,"CEG"
12,"RPS16","H1299","g3","R1",1,"CEG"
18,"RPS16","H1299","g3","R1",1.226104,"CEG"
24,"RPS16","H1299","g3","R1",1.521753,"CEG"
30,"RPS16","H1299","g3","R1",1.622933,"CEG"
36,"RPS16","H1299","g3","R1",1.857305,"CEG"
42,"RPS16","H1299","g3","R1",1.988983,"CEG"
48,"RPS16","H1299","g3","R1",2.157063,"CEG"
54,"RPS16","H1299","g3","R1",2.318003,"CEG"
60,"RPS16","H1299","g3","R1",2.328509,"CEG"
66,"RPS16","H1299","g3","R1",2.29546,"CEG"
72,"RPS16","H1299","g3","R1",2.310599,"CEG"
78,"RPS16","H1299","g3","R1",2.271616,"CEG"
84,"RPS16","H1299","g3","R1",2.22783,"CEG"
90,"RPS16","H1299","g3","R1",2.370875,"CEG"
0,"RPS16","H1299","g3","R2",0.8139613,"CEG"
6,"RPS16","H1299","g3","R2",0.8943138,"CEG"
12,"RPS16","H1299","g3","R2",1,"CEG"
18,"RPS16","H1299","g3","R2",1.205156,"CEG"
24,"RPS16","H1299","g3","R2",1.23839,"CEG"
30,"RPS16","H1299","g3","R2",1.389342,"CEG"
36,"RPS16","H1299","g3","R2",1.453748,"CEG"
42,"RPS16","H1299","g3","R2",1.481165,"CEG"
48,"RPS16","H1299","g3","R2",1.693648,"CEG"
54,"RPS16","H1299","g3","R2",1.786525,"CEG"
60,"RPS16","H1299","g3","R2",1.998472,"CEG"
66,"RPS16","H1299","g3","R2",2.612442,"CEG"
72,"RPS16","H1299","g3","R2",3.589674,"CEG"
78,"RPS16","H1299","g3","R2",4.428467,"CEG"
84,"RPS16","H1299","g3","R2",5.223975,"CEG"
90,"RPS16","H1299","g3","R2",5.669852,"CEG"
0,"PPIA.TR2","H1299","g1","R1",0.5229344,"Protein-coding gene"
6,"PPIA.TR2","H1299","g1","R1",0.672976,"Protein-coding gene"
12,"PPIA.TR2","H1299","g1","R1",1,"Protein-coding gene"
18,"PPIA.TR2","H1299","g1","R1",1.354787,"Protein-coding gene"
24,"PPIA.TR2","H1299","g1","R1",1.683854,"Protein-coding gene"
30,"PPIA.TR2","H1299","g1","R1",2.054347,"Protein-coding gene"
36,"PPIA.TR2","H1299","g1","R1",2.419316,"Protein-coding gene"
42,"PPIA.TR2","H1299","g1","R1",2.842151,"Protein-coding gene"
48,"PPIA.TR2","H1299","g1","R1",3.235213,"Protein-coding gene"
54,"PPIA.TR2","H1299","g1","R1",3.630108,"Protein-coding gene"
60,"PPIA.TR2","H1299","g1","R1",4.138913,"Protein-coding gene"
66,"PPIA.TR2","H1299","g1","R1",4.540467,"Protein-coding gene"
72,"PPIA.TR2","H1299","g1","R1",4.959931,"Protein-coding gene"
78,"PPIA.TR2","H1299","g1","R1",5.338855,"Protein-coding gene"
84,"PPIA.TR2","H1299","g1","R1",5.597227,"Protein-coding gene"
90,"PPIA.TR2","H1299","g1","R1",5.935283,"Protein-coding gene"
0,"PPIA.TR2","H1299","g1","R2",0.5591495,"Protein-coding gene"
6,"PPIA.TR2","H1299","g1","R2",0.7315995,"Protein-coding gene"
12,"PPIA.TR2","H1299","g1","R2",1,"Protein-coding gene"
18,"PPIA.TR2","H1299","g1","R2",1.374276,"Protein-coding gene"
24,"PPIA.TR2","H1299","g1","R2",1.722879,"Protein-coding gene"
30,"PPIA.TR2","H1299","g1","R2",2.173398,"Protein-coding gene"
36,"PPIA.TR2","H1299","g1","R2",2.628641,"Protein-coding gene"
42,"PPIA.TR2","H1299","g1","R2",3.027762,"Protein-coding gene"
48,"PPIA.TR2","H1299","g1","R2",3.473715,"Protein-coding gene"
54,"PPIA.TR2","H1299","g1","R2",4.001594,"Protein-coding gene"
60,"PPIA.TR2","H1299","g1","R2",4.658576,"Protein-coding gene"
66,"PPIA.TR2","H1299","g1","R2",5.305982,"Protein-coding gene"
72,"PPIA.TR2","H1299","g1","R2",5.981501,"Protein-coding gene"
78,"PPIA.TR2","H1299","g1","R2",6.822973,"Protein-coding gene"
84,"PPIA.TR2","H1299","g1","R2",7.665061,"Protein-coding gene"
90,"PPIA.TR2","H1299","g1","R2",8.556553,"Protein-coding gene"
0,"PPIA.TR2","H1299","g2","R1",0.5128197,"Protein-coding gene"
6,"PPIA.TR2","H1299","g2","R1",0.6921685,"Protein-coding gene"
12,"PPIA.TR2","H1299","g2","R1",1,"Protein-coding gene"
18,"PPIA.TR2","H1299","g2","R1",1.391854,"Protein-coding gene"
24,"PPIA.TR2","H1299","g2","R1",1.895231,"Protein-coding gene"
30,"PPIA.TR2","H1299","g2","R1",2.484658,"Protein-coding gene"
36,"PPIA.TR2","H1299","g2","R1",3.100982,"Protein-coding gene"
42,"PPIA.TR2","H1299","g2","R1",3.983059,"Protein-coding gene"
48,"PPIA.TR2","H1299","g2","R1",4.921168,"Protein-coding gene"
54,"PPIA.TR2","H1299","g2","R1",6.195192,"Protein-coding gene"
60,"PPIA.TR2","H1299","g2","R1",7.863935,"Protein-coding gene"
66,"PPIA.TR2","H1299","g2","R1",9.830708,"Protein-coding gene"
72,"PPIA.TR2","H1299","g2","R1",12.00369,"Protein-coding gene"
78,"PPIA.TR2","H1299","g2","R1",14.39084,"Protein-coding gene"
84,"PPIA.TR2","H1299","g2","R1",16.84462,"Protein-coding gene"
90,"PPIA.TR2","H1299","g2","R1",18.97661,"Protein-coding gene"
0,"PPIA.TR2","H1299","g2","R2",0.4970456,"Protein-coding gene"
6,"PPIA.TR2","H1299","g2","R2",0.7053732,"Protein-coding gene"
12,"PPIA.TR2","H1299","g2","R2",1,"Protein-coding gene"
18,"PPIA.TR2","H1299","g2","R2",1.394642,"Protein-coding gene"
24,"PPIA.TR2","H1299","g2","R2",1.821792,"Protein-coding gene"
30,"PPIA.TR2","H1299","g2","R2",2.438653,"Protein-coding gene"
36,"PPIA.TR2","H1299","g2","R2",3.039675,"Protein-coding gene"
42,"PPIA.TR2","H1299","g2","R2",3.893897,"Protein-coding gene"
48,"PPIA.TR2","H1299","g2","R2",4.951138,"Protein-coding gene"
54,"PPIA.TR2","H1299","g2","R2",6.124722,"Protein-coding gene"
60,"PPIA.TR2","H1299","g2","R2",7.789133,"Protein-coding gene"
66,"PPIA.TR2","H1299","g2","R2",9.714534,"Protein-coding gene"
72,"PPIA.TR2","H1299","g2","R2",11.64052,"Protein-coding gene"
78,"PPIA.TR2","H1299","g2","R2",13.81063,"Protein-coding gene"
84,"PPIA.TR2","H1299","g2","R2",15.87084,"Protein-coding gene"
90,"PPIA.TR2","H1299","g2","R2",17.7858,"Protein-coding gene"
0,"PPIA.TR2","H1299","g3","R1",0.5284958,"Protein-coding gene"
6,"PPIA.TR2","H1299","g3","R1",0.7015214,"Protein-coding gene"
12,"PPIA.TR2","H1299","g3","R1",1,"Protein-coding gene"
18,"PPIA.TR2","H1299","g3","R1",1.382506,"Protein-coding gene"
24,"PPIA.TR2","H1299","g3","R1",1.906539,"Protein-coding gene"
30,"PPIA.TR2","H1299","g3","R1",2.497787,"Protein-coding gene"
36,"PPIA.TR2","H1299","g3","R1",3.168304,"Protein-coding gene"
42,"PPIA.TR2","H1299","g3","R1",4.074718,"Protein-coding gene"
48,"PPIA.TR2","H1299","g3","R1",5.057153,"Protein-coding gene"
54,"PPIA.TR2","H1299","g3","R1",6.250069,"Protein-coding gene"
60,"PPIA.TR2","H1299","g3","R1",7.780899,"Protein-coding gene"
66,"PPIA.TR2","H1299","g3","R1",9.672181,"Protein-coding gene"
72,"PPIA.TR2","H1299","g3","R1",11.91555,"Protein-coding gene"
78,"PPIA.TR2","H1299","g3","R1",14.24988,"Protein-coding gene"
84,"PPIA.TR2","H1299","g3","R1",16.45756,"Protein-coding gene"
90,"PPIA.TR2","H1299","g3","R1",18.56745,"Protein-coding gene"
0,"PPIA.TR2","H1299","g3","R2",0.487071,"Protein-coding gene"
6,"PPIA.TR2","H1299","g3","R2",0.675002,"Protein-coding gene"
12,"PPIA.TR2","H1299","g3","R2",1,"Protein-coding gene"
18,"PPIA.TR2","H1299","g3","R2",1.456095,"Protein-coding gene"
24,"PPIA.TR2","H1299","g3","R2",1.970541,"Protein-coding gene"
30,"PPIA.TR2","H1299","g3","R2",2.53228,"Protein-coding gene"
36,"PPIA.TR2","H1299","g3","R2",3.353613,"Protein-coding gene"
42,"PPIA.TR2","H1299","g3","R2",4.220473,"Protein-coding gene"
48,"PPIA.TR2","H1299","g3","R2",5.370841,"Protein-coding gene"
54,"PPIA.TR2","H1299","g3","R2",6.801244,"Protein-coding gene"
60,"PPIA.TR2","H1299","g3","R2",8.560093,"Protein-coding gene"
66,"PPIA.TR2","H1299","g3","R2",10.58143,"Protein-coding gene"
72,"PPIA.TR2","H1299","g3","R2",13.08273,"Protein-coding gene"
78,"PPIA.TR2","H1299","g3","R2",15.38904,"Protein-coding gene"
84,"PPIA.TR2","H1299","g3","R2",17.78738,"Protein-coding gene"
90,"PPIA.TR2","H1299","g3","R2",20.00146,"Protein-coding gene"
0,"GAPDH","H1299","g1","R1",0.8875295,"CEG"
6,"GAPDH","H1299","g1","R1",0.7679517,"CEG"
12,"GAPDH","H1299","g1","R1",1,"CEG"
18,"GAPDH","H1299","g1","R1",1.257305,"CEG"
24,"GAPDH","H1299","g1","R1",1.693623,"CEG"
30,"GAPDH","H1299","g1","R1",2.0074,"CEG"
36,"GAPDH","H1299","g1","R1",2.220801,"CEG"
42,"GAPDH","H1299","g1","R1",2.450887,"CEG"
48,"GAPDH","H1299","g1","R1",2.673113,"CEG"
54,"GAPDH","H1299","g1","R1",2.856596,"CEG"
60,"GAPDH","H1299","g1","R1",3.131774,"CEG"
66,"GAPDH","H1299","g1","R1",3.397878,"CEG"
72,"GAPDH","H1299","g1","R1",3.558939,"CEG"
78,"GAPDH","H1299","g1","R1",3.912205,"CEG"
84,"GAPDH","H1299","g1","R1",4.177129,"CEG"
90,"GAPDH","H1299","g1","R1",4.519134,"CEG"
0,"GAPDH","H1299","g1","R2",0.9971104,"CEG"
6,"GAPDH","H1299","g1","R2",0.9240584,"CEG"
12,"GAPDH","H1299","g1","R2",1,"CEG"
18,"GAPDH","H1299","g1","R2",1.33256,"CEG"
24,"GAPDH","H1299","g1","R2",1.701682,"CEG"
30,"GAPDH","H1299","g1","R2",2.042214,"CEG"
36,"GAPDH","H1299","g1","R2",2.314758,"CEG"
42,"GAPDH","H1299","g1","R2",2.519198,"CEG"
48,"GAPDH","H1299","g1","R2",2.796328,"CEG"
54,"GAPDH","H1299","g1","R2",3.002115,"CEG"
60,"GAPDH","H1299","g1","R2",3.237102,"CEG"
66,"GAPDH","H1299","g1","R2",3.46262,"CEG"
72,"GAPDH","H1299","g1","R2",3.577109,"CEG"
78,"GAPDH","H1299","g1","R2",3.920843,"CEG"
84,"GAPDH","H1299","g1","R2",4.127954,"CEG"
90,"GAPDH","H1299","g1","R2",4.424803,"CEG"
0,"GAPDH","H1299","g2","R1",0.5600489,"CEG"
6,"GAPDH","H1299","g2","R1",0.7591861,"CEG"
12,"GAPDH","H1299","g2","R1",1,"CEG"
18,"GAPDH","H1299","g2","R1",1.408338,"CEG"
24,"GAPDH","H1299","g2","R1",1.670018,"CEG"
30,"GAPDH","H1299","g2","R1",2.052554,"CEG"
36,"GAPDH","H1299","g2","R1",2.372172,"CEG"
42,"GAPDH","H1299","g2","R1",2.735293,"CEG"
48,"GAPDH","H1299","g2","R1",3.166373,"CEG"
54,"GAPDH","H1299","g2","R1",3.806545,"CEG"
60,"GAPDH","H1299","g2","R1",4.406268,"CEG"
66,"GAPDH","H1299","g2","R1",5.047369,"CEG"
72,"GAPDH","H1299","g2","R1",5.663069,"CEG"
78,"GAPDH","H1299","g2","R1",6.652317,"CEG"
84,"GAPDH","H1299","g2","R1",7.786976,"CEG"
90,"GAPDH","H1299","g2","R1",8.858891,"CEG"
0,"GAPDH","H1299","g2","R2",0.5949962,"CEG"
6,"GAPDH","H1299","g2","R2",0.7656696,"CEG"
12,"GAPDH","H1299","g2","R2",1,"CEG"
18,"GAPDH","H1299","g2","R2",1.305301,"CEG"
24,"GAPDH","H1299","g2","R2",1.578623,"CEG"
30,"GAPDH","H1299","g2","R2",1.92767,"CEG"
36,"GAPDH","H1299","g2","R2",2.27299,"CEG"
42,"GAPDH","H1299","g2","R2",2.569816,"CEG"
48,"GAPDH","H1299","g2","R2",2.999076,"CEG"
54,"GAPDH","H1299","g2","R2",3.557384,"CEG"
60,"GAPDH","H1299","g2","R2",4.151761,"CEG"
66,"GAPDH","H1299","g2","R2",4.785279,"CEG"
72,"GAPDH","H1299","g2","R2",5.573063,"CEG"
78,"GAPDH","H1299","g2","R2",6.551777,"CEG"
84,"GAPDH","H1299","g2","R2",7.631036,"CEG"
90,"GAPDH","H1299","g2","R2",8.633001,"CEG"
0,"GAPDH","H1299","g3","R1",0.5874041,"CEG"
6,"GAPDH","H1299","g3","R1",0.7077365,"CEG"
12,"GAPDH","H1299","g3","R1",1,"CEG"
18,"GAPDH","H1299","g3","R1",1.291314,"CEG"
24,"GAPDH","H1299","g3","R1",1.562896,"CEG"
30,"GAPDH","H1299","g3","R1",1.892013,"CEG"
36,"GAPDH","H1299","g3","R1",2.166858,"CEG"
42,"GAPDH","H1299","g3","R1",2.405754,"CEG"
48,"GAPDH","H1299","g3","R1",2.665829,"CEG"
54,"GAPDH","H1299","g3","R1",2.93918,"CEG"
60,"GAPDH","H1299","g3","R1",3.232572,"CEG"
66,"GAPDH","H1299","g3","R1",3.512516,"CEG"
72,"GAPDH","H1299","g3","R1",3.83226,"CEG"
78,"GAPDH","H1299","g3","R1",4.223255,"CEG"
84,"GAPDH","H1299","g3","R1",4.666321,"CEG"
90,"GAPDH","H1299","g3","R1",5.208736,"CEG"
0,"GAPDH","H1299","g3","R2",0.6216918,"CEG"
6,"GAPDH","H1299","g3","R2",0.6959587,"CEG"
